order_id,order_date,customer_id,product_name,category,sub_category,region,state,quantity,unit_price,discount,sales,profit,ship_mode,segment
ORD-010022,06-Jan-2024,CUST-9968, Modular Bookshelf , Furniture , Storage ,West,oregon,5,161.08,0.11,$718.68,-26.9,Second Class,Corporate
ORD-010023,29-Jan-2024,CUST-2252, Wireless Keyboard , Technology ,Accessories, Central ,Texas,3,$74.21,0.08,204.68,63.43, Standard Class , Corporate 
ORD-010024,01/25/2024,CUST-9650,Modular Bookshelf,Furniture, Storage ,EAST,massachusetts,5,170.83,0.14,736.09,-52.42, Standard Class , Consumer 
ORD-010025,27-Jan-2024,CUST-8900,DESK ORGANIZER SET,Office Supplies,Storage,east,NEW YORK,2,35.17,0.14,$60.73,21.17,STANDARD CLASS, Home Office 
ORD-010026,2024-01-10,CUST-8911,ERGONOMIC OFFICE CHAIR,furniture, Chairs , East ,Pennsylvania,3,201.2,0.15,514.06,-15.32,Standard Class,HOME OFFICE
ORD-010027,2024-01-08,CUST-6905, Ink Cartridge Pack ,Office Supplies,Supplies,West,California,2,59.46,0.06,111.35,24.08,Standard Class,home office
ORD-010028,26-Jan-2024,CUST-2023,Smart LED Monitor,TECHNOLOGY,MONITORS,SOUTH,TENNESSEE,7,238.98,0.16,1410.33,$163.89, Standard Class ,CONSUMER
ORD-010029,2024-01-31,CUST-8956,premium standing desk,FURNITURE,tables,West,california,5,456.06,0.06,2139.76,173.93,Second Class,CONSUMER
ORD-010030,2024-01-05,CUST-6842,compact printer, Technology ,Printers,Central,minnesota,3,137.09,0.12,363.48,$-18.85,SECOND CLASS, Corporate 
ORD-010031,02/05/2024,CUST-6413,ergonomic office chair, Furniture ,Chairs,east,new york,5,201.5,0.13,877.43,-6.06,standard class,CORPORATE
ORD-010032,02/10/2024,CUST-5736,modular bookshelf, Furniture ,STORAGE, Central ,COLORADO,4,166.71,0.12,585.69,-28.31,STANDARD CLASS,CORPORATE
ORD-010033,2024-02-24,CUST-5387,Desk Organizer Set,OFFICE SUPPLIES,storage,East,MASSACHUSETTS,5,$35.48,0.11,157.28,57.64,standard class,consumer
ORD-010034,11-Feb-2024,CUST-7188,Smart LED Monitor,TECHNOLOGY, Monitors ,central, Colorado ,2,$251.17,0.05,476.73,105.45,FIRST CLASS,consumer
ORD-010035,24-Feb-2024,CUST-8585,premium standing desk,furniture,Tables, South , Florida ,7,433.06,0.15,2588.68,$-37.07,standard class,Consumer
ORD-010036,02/29/2024,CUST-3419,Ink Cartridge Pack, Office Supplies , Supplies , West ,OREGON,2,57.73,0.09,104.8,19.89,STANDARD CLASS,Consumer
ORD-010037,02/25/2024,CUST-9185,ergonomic office chair,FURNITURE,Chairs, Central ,minnesota,4,201.36,0.12,709.21,$5.65,first class,Corporate
ORD-010038,06-Feb-2024,CUST-5033,ink cartridge pack,office supplies,Supplies,CENTRAL,TEXAS,2,60.75,0.09,110.37,22.16,Standard Class,HOME OFFICE
ORD-010039,02/23/2024,CUST-8800,Compact Printer,Technology,PRINTERS,EAST, New Jersey ,5,125.6,0.11,557.21,-32.93,same day,Corporate
ORD-010040,2024-02-09,CUST-8874, Ergonomic Office Chair , Furniture ,chairs,central, Minnesota ,7,185.85,0.09,1190.17,$45.80,First Class,CORPORATE
ORD-010041,2024-02-28,CUST-7863,DESK ORGANIZER SET,OFFICE SUPPLIES, Storage ,South, Georgia ,-1,31.71,0.16,133.86,$40.76, Standard Class ,Corporate
ORD-010042,2024-02-16,CUST-6494,COMPACT PRINTER,technology,Printers,south, Georgia ,1,135.55,0.16,113.95,-13.34,STANDARD CLASS,HOME OFFICE
ORD-010043,02/06/2024,CUST-9987,ERGONOMIC OFFICE CHAIR,furniture, Chairs ,west,OREGON,7,203.18,0.13,1236.93,-7.25,Second Class,CORPORATE
ORD-010044,2024-02-03,CUST-3716,ergonomic office chair, Furniture ,CHAIRS, South ,north carolina,3,212.28,0.17,526.08,-31.38,STANDARD CLASS,CONSUMER
ORD-010045,02/10/2024,CUST-6880,Ergonomic Office Chair,furniture, Chairs ,South,georgia,3,$194.84,0.2,469.44,-46.17,first class,Corporate
ORD-010046,13-Feb-2024,CUST-9122,desk organizer set, Office Supplies ,storage,South,North Carolina,4,$35.70,0.16,119.69,37.54,SECOND CLASS, Corporate 
ORD-010047,2024-02-02,CUST-3374,ERGONOMIC OFFICE CHAIR, Furniture ,chairs,West,Oregon,7,$192.77,0.08,1240.01,$54.09, Standard Class ,CONSUMER
ORD-010048,2024-02-13,CUST-5572,premium standing desk,furniture,Tables,east,pennsylvania,2,461.6,0.13,803.63,7.6,first class,Consumer
ORD-010049,08-Feb-2024,CUST-8774,PREMIUM STANDING DESK,Furniture,Tables,EAST,Pennsylvania,7,$454.08,0.18,2602.76,$-140.13, Standard Class ,Consumer
ORD-010050,2024-02-08,CUST-8679,SMART LED MONITOR,TECHNOLOGY,monitors,West, Oregon ,5,219.65,0.12,964.74,148.0, First Class ,CONSUMER
ORD-010051,2024-02-11,CUST-2946,COMPACT PRINTER,technology,PRINTERS,south, Georgia ,1,$143.75,0.12,126.82,$-7.68,First Class,CORPORATE
ORD-010052,22-Feb-2024,CUST-2293,MODULAR BOOKSHELF,FURNITURE,Storage,Central, Illinois ,2,170.73,0.15,$291.06,$-22.77,SECOND CLASS,CONSUMER
ORD-010053,27-Feb-2024,CUST-1454,compact printer,TECHNOLOGY,Printers,west,nevada,3,137.87,0.08,$379.89,-5.7,SECOND CLASS,Consumer
ORD-010054,18-Feb-2024,CUST-6101,premium notebook bundle, Office Supplies ,PAPER, West ,California,4,18.25,0.03,$70.65,31.92,second class,corporate
ORD-010055,2024-02-14,CUST-7137,Ergonomic Office Chair, Furniture , Chairs , West , Oregon ,6,200.94,0.1,1090.0,34.27,SAME DAY, Consumer 
ORD-010056,22-Feb-2024,CUST-8789, Ergonomic Office Chair , Furniture ,CHAIRS,East,New York,5,211.43,0.14,$905.07,-18.15,Standard Class, Home Office 
ORD-010057,03/10/2024,CUST-9417,INK CARTRIDGE PACK,office supplies,Supplies,East,pennsylvania,4,61.01,0.2,$194.92,$14.98,standard class,corporate
ORD-010058,19-Mar-2024,CUST-9779,Ergonomic Office Chair,furniture,CHAIRS,South,north carolina,4,198.54,0.13,$691.28,-8.03,Standard Class, Consumer 
ORD-010059,10-Mar-2024,CUST-1946, Compact Printer ,TECHNOLOGY, Printers ,east, New Jersey ,1,$137.77,0.1,$124.05,-4.69,First Class,HOME OFFICE
ORD-010060,03/17/2024,CUST-6257,SMART LED MONITOR,TECHNOLOGY,MONITORS,south, North Carolina ,5,229.35,0.14,991.14,135.47,standard class,Home Office
ORD-010061,03/28/2024,CUST-4721,Cordless Phone Dock,technology,Accessories,West, California ,2,66.18,0.04,127.7,33.53,FIRST CLASS,CONSUMER
ORD-010062,01-Mar-2024,CUST-5063,PREMIUM STANDING DESK,furniture,TABLES, West ,oregon,2,$451.14,0.08,$830.41,52.14,Standard Class,corporate
ORD-010063,2024-03-28,CUST-1014,cordless phone dock, Technology ,ACCESSORIES,West,washington,3,65.77,0.04,189.47,49.05, Standard Class , Home Office 
ORD-010064,03/22/2024,CUST-1513, Desk Organizer Set ,OFFICE SUPPLIES,STORAGE,South, Georgia ,3,34.65,0.16,87.75,27.66,STANDARD CLASS,consumer
ORD-010065,03/13/2024,CUST-8087,COMPACT PRINTER,technology,printers,West, Oregon ,5,134.87,0.07,626.46,-2.99,standard class,CONSUMER
ORD-010066,03-Mar-2024,CUST-9890,compact printer,technology, Printers ,EAST,MASSACHUSETTS,5,140.28,0.05,668.82,14.1,First Class,consumer
ORD-010067,05-Mar-2024,CUST-3973,cordless phone dock,Technology,ACCESSORIES,east,massachusetts,4,66.93,0.1,241.98,$50.48, Standard Class ,Home Office
ORD-010068,2024-03-25,CUST-7760,Compact Printer, Technology ,PRINTERS,Central,Colorado,4,132.13,0.08,$484.53,-7.78,first class,HOME OFFICE
ORD-010069,03/19/2024,CUST-1577,ink cartridge pack,OFFICE SUPPLIES, Supplies ,WEST,,3,58.14,0.0,$174.42,46.21,STANDARD CLASS, Corporate 
ORD-010070,03/27/2024,CUST-8316,compact printer, Technology ,Printers,east, New York ,5,133.69,0.12,585.76,-39.98,Standard Class,CORPORATE
ORD-010071,03/19/2024,CUST-5155,DESK ORGANIZER SET,office supplies,storage,south,Florida,3,36.0,0.09,98.09,$36.05,standard class,Consumer
ORD-010072,2024-03-05,CUST-2733, Ergonomic Office Chair ,Furniture,Chairs,south,florida,5,190.13,0.17,786.07,$-54.44,STANDARD CLASS, Home Office 
ORD-010073,2024-03-28,CUST-4811,DESK ORGANIZER SET,OFFICE SUPPLIES,Storage,WEST,california,3,32.1,0.06,90.93,36.91,FIRST CLASS,Consumer
ORD-010074,03/06/2024,CUST-7867,smart led monitor,technology, Monitors ,CENTRAL, Colorado ,3,239.35,0.11,636.58,105.18,Standard Class,CORPORATE
ORD-010075,2024-03-29,CUST-3524,Desk Organizer Set,OFFICE SUPPLIES,Storage,East,New York,5,34.11,0.09,154.58,$58.22,standard class,CORPORATE
ORD-010076,03/18/2024,CUST-4810,premium notebook bundle,OFFICE SUPPLIES,PAPER,WEST,california,1,17.36,0.0,17.36,8.04,FIRST CLASS,consumer
ORD-010077,2024-03-24,CUST-8407,Ergonomic Office Chair,furniture,CHAIRS, West , Oregon ,3,202.77,0.13,526.69,-5.55,Standard Class,Consumer
ORD-010078,2024-03-06,CUST-6097,LED DESK LAMP,FURNITURE,lighting, South ,tennessee,3,$47.30,0.14,$122.26,16.44,STANDARD CLASS,corporate
ORD-010079,03/05/2024,CUST-2462,premium standing desk,furniture,TABLES,EAST,PENNSYLVANIA,4,$435.31,0.07,"$1,612.42",106.59,STANDARD CLASS, Corporate 
ORD-010080,27-Mar-2024,CUST-5266,COMPACT PRINTER,technology,Printers,west,NEVADA,5,144.6,0.13,$626.41,-45.84,Standard Class,consumer
ORD-010081,10-Mar-2024,CUST-6493,premium standing desk,Furniture, Tables , West ,Oregon,5,$433.20,0.09,"$1,981.76",$109.62, Standard Class ,consumer
ORD-010082,05-Mar-2024,CUST-1560,smart led monitor,technology, Monitors ,South,NORTH CAROLINA,7,232.76,0.2,"$1,311.35",96.22,standard class,consumer
ORD-010083,2024-03-15,CUST-9835,Wireless Keyboard, Technology , Accessories ,South,TENNESSEE,2,71.65,0.16,120.17,26.62, Standard Class ,CONSUMER
ORD-010084,03/31/2024,CUST-4153,INK CARTRIDGE PACK,office supplies,supplies, South ,north carolina,2,61.28,0.09,$112.10,$20.75,STANDARD CLASS,CORPORATE
ORD-010085,2024-03-24,CUST-7019, Ergonomic Office Chair ,Furniture,CHAIRS, West , Nevada ,5,192.34,0.11,859.82,$14.44,same day,CORPORATE
ORD-010086,03/01/2024,CUST-1049,MODULAR BOOKSHELF, Furniture , Storage ,central, Illinois ,1,154.33,0.14,132.45,-10.53, Standard Class ,CONSUMER
ORD-010087,17-Mar-2024,CUST-6347, Desk Organizer Set , Office Supplies ,STORAGE,east,New York,2,31.86,0.12,56.09,19.71,First Class,CONSUMER
ORD-010088,2024-03-12,CUST-3559,COMPACT PRINTER,technology,PRINTERS, East ,New Jersey,5,132.44,0.09,604.03,-16.2,First Class,HOME OFFICE
ORD-010089,03/20/2024,CUST-2256,COMPACT PRINTER,Technology,printers,east,New York,4,144.38,0.11,515.14,-23.07,Second Class,consumer
ORD-010090,03/05/2024,CUST-4323, Smart LED Monitor ,technology, Monitors ,CENTRAL,Minnesota,7,221.69,0.06,1454.82,303.9,standard class,Corporate
ORD-010091,2024-03-30,CUST-8840,CORDLESS PHONE DOCK,TECHNOLOGY,accessories, South ,tennessee,1,$71.05,0.18,58.6,7.5, Second Class ,Home Office
ORD-010092,03/27/2024,CUST-9489,ERGONOMIC OFFICE CHAIR,Furniture, Chairs , South ,florida,3,186.94,0.21,441.04,-55.62,SAME DAY,home office
ORD-010093,03/12/2024,CUST-8018,WIRELESS KEYBOARD,technology,Accessories, East , Massachusetts ,5,$74.28,0.04,$357.03,117.91,STANDARD CLASS,consumer
ORD-010094,2024-03-18,CUST-2335,Premium Standing Desk,Furniture,TABLES,east, New Jersey ,6,470.24,0.08,2593.86,163.29,STANDARD CLASS, Consumer 
ORD-010095,2024-03-15,CUST-8643,compact printer,technology, Printers ,South,NORTH CAROLINA,5,134.26,0.2,538.47,-92.28,Standard Class,HOME OFFICE
ORD-010096,03/06/2024,CUST-5675,Ergonomic Office Chair,FURNITURE, Chairs ,west,nevada,6,191.61,0.1,1034.07,23.17, Standard Class , Corporate 
ORD-010097,2024-03-20,CUST-5279,COMPACT PRINTER,Technology, Printers , West ,CALIFORNIA,4,151.93,0.09,552.94,-10.66,STANDARD CLASS,Home Office
ORD-010098,03/21/2024,CUST-8308,compact printer,TECHNOLOGY,Printers,EAST,new jersey,3,134.97,0.13,350.78,$-28.05,standard class,consumer
ORD-010099,04/09/2024,CUST-3621,desk organizer set,OFFICE SUPPLIES,Storage, South ,FLORIDA,4,32.02,0.21,$100.75,25.67, Standard Class , Consumer 
ORD-010100,25-Apr-2024,CUST-3162, Smart LED Monitor ,TECHNOLOGY,MONITORS,West, Washington ,2,223.3,0.08,411.22,79.27,standard class,corporate
ORD-010101,2024-04-08,CUST-4948,PREMIUM STANDING DESK,furniture, Tables ,east, Pennsylvania ,4,484.88,0.13,1690.29,21.9,Standard Class,CONSUMER
ORD-010102,19-Apr-2024,CUST-1730,PREMIUM NOTEBOOK BUNDLE,Office Supplies,PAPER,south,north carolina,3,17.86,0.13,46.53,15.56,first class,CONSUMER
ORD-010103,21-Apr-2024,CUST-2153,smart led monitor,TECHNOLOGY,monitors, West ,NEVADA,3,220.48,0.02,647.58,155.75,FIRST CLASS,consumer
ORD-010104,29-Apr-2024,CUST-2578,Premium Standing Desk, Furniture , Tables ,west, Oregon ,2,$424.29,0.1,766.09,31.85, Second Class ,consumer
ORD-010105,2024-04-21,CUST-6208,ergonomic office chair,FURNITURE, Chairs , South ,Florida,3,$186.37,0.21,444.18,-51.1, First Class ,Corporate
ORD-010106,2024-04-03,CUST-2759,PREMIUM STANDING DESK,furniture,tables,east,MASSACHUSETTS,7,419.89,0.13,2569.4,22.74, Standard Class ,Consumer
ORD-010107,2024-04-30,CUST-2563,Ergonomic Office Chair,furniture,chairs,South,georgia,1,198.56,0.14,170.24,-4.61,STANDARD CLASS,consumer
ORD-010108,2024-04-29,CUST-1316,Ergonomic Office Chair,Furniture, Chairs ,WEST,washington,1,222.2,0.13,193.62,0.66, First Class ,Consumer
ORD-010109,17-Apr-2024,CUST-2431, Premium Standing Desk ,Furniture,TABLES, West ,nevada,7,434.08,0.07,2834.05,208.03,Standard Class, Corporate 
ORD-010110,04/21/2024,CUST-8488, Desk Organizer Set , Office Supplies , Storage , East ,Pennsylvania,1,34.07,0.04,32.79,13.53, Second Class ,Consumer
ORD-010111,04/12/2024,CUST-1639, Desk Organizer Set ,Office Supplies,Storage,SOUTH,florida,4,37.25,0.14,127.46,42.34,SECOND CLASS,consumer
ORD-010112,04/08/2024,CUST-9530,LED Desk Lamp,furniture,Lighting, South ,TENNESSEE,2,44.9,0.17,74.35,$6.88,second class,home office
ORD-010113,11-Apr-2024,CUST-3009,PREMIUM NOTEBOOK BUNDLE,OFFICE SUPPLIES, Paper ,west,Nevada,2,17.61,0.1,31.69,12.84, Standard Class ,Home Office
ORD-010114,2024-04-20,CUST-6763,smart led monitor,Technology,Monitors, South , Georgia ,4,231.17,0.07,861.23,$171.47, Standard Class ,consumer
ORD-010115,04/10/2024,CUST-1641,Ink Cartridge Pack, Office Supplies ,Supplies,South,Tennessee,5,55.84,0.16,234.19,24.33,Standard Class,Consumer
ORD-010116,2024-04-16,CUST-2527,ink cartridge pack, Office Supplies , Supplies ,central,colorado,3,57.78,0.01,171.69,45.42,Standard Class, Consumer 
ORD-010117,2024-04-23,CUST-3654, Premium Notebook Bundle ,OFFICE SUPPLIES,Paper,west,oregon,5,18.64,0.05,88.29,39.08,SECOND CLASS, Home Office 
ORD-010118,21-Apr-2024,CUST-3001,modular bookshelf,furniture, Storage ,CENTRAL, Illinois ,3,161.89,0.06,455.07,6.85,Standard Class, Consumer 
ORD-010119,2024-04-28,CUST-1646,wireless keyboard,TECHNOLOGY,ACCESSORIES,central,TEXAS,4,74.62,0.02,291.67,102.36, Second Class ,CORPORATE
ORD-010120,11-Apr-2024,CUST-2939,PREMIUM STANDING DESK, Furniture ,Tables,West, Washington ,1,$453.92,0.11,404.11,12.7,second class,CONSUMER
ORD-010121,28-Apr-2024,CUST-3015,ERGONOMIC OFFICE CHAIR,furniture,chairs,south,FLORIDA,2,199.32,0.18,326.89,-24.02,first class,Home Office
ORD-010122,28-Apr-2024,CUST-4957,Compact Printer, Technology ,printers, South , North Carolina ,3,142.58,0.19,345.3,-55.12, First Class ,CONSUMER
ORD-010123,04/20/2024,CUST-2144,wireless keyboard,Technology,ACCESSORIES, East , Massachusetts ,3,78.38,0.09,213.74,63.02,standard class,Consumer
ORD-010124,2024-04-01,CUST-1200, Ergonomic Office Chair ,Furniture,Chairs,WEST,CALIFORNIA,3,204.35,0.1,552.04,$16.00,second class, Consumer 
ORD-010125,2024-04-21,CUST-2268,INK CARTRIDGE PACK,Office Supplies,SUPPLIES, West , Oregon ,1,58.12,0.09,52.68,9.95, Standard Class ,corporate
ORD-010126,04/22/2024,CUST-7989,PREMIUM STANDING DESK, Furniture ,Tables,WEST,California,3,412.94,0.11,1098.15,24.72,Second Class,Corporate
ORD-010127,18-Apr-2024,CUST-5792,Premium Standing Desk,furniture, Tables ,EAST, New York ,2,$429.68,0.11,761.18,17.5,Standard Class, Home Office 
ORD-010128,04/29/2024,CUST-5515,LED Desk Lamp,FURNITURE,LIGHTING,CENTRAL,Minnesota,1,50.29,0.0,50.29,14.3,STANDARD CLASS,CORPORATE
ORD-010129,04/12/2024,CUST-7606,Ergonomic Office Chair,Furniture, Chairs , South ,FLORIDA,4,185.32,0.21,588.83,-68.18,standard class,home office
ORD-010130,21-Apr-2024,CUST-4735,premium standing desk, Furniture , Tables ,Central,minnesota,6,416.62,0.09,2282.97,120.4,standard class, Consumer 
ORD-010131,04/21/2024,CUST-2683,WIRELESS KEYBOARD,Technology,Accessories,SOUTH,georgia,4,$74.49,0.13,259.37,65.58,STANDARD CLASS,CONSUMER
ORD-010132,04/12/2024,CUST-5108,ergonomic office chair,furniture, Chairs , West ,Oregon,4,183.93,0.14,634.97,$-14.41,standard class,CONSUMER
ORD-010133,2024-04-10,CUST-9134,ergonomic office chair, Furniture , Chairs ,EAST,MASSACHUSETTS,4,203.34,0.14,696.5,$-16.19,second class,corporate
ORD-010134,04/03/2024,CUST-1028,wireless keyboard,Technology, Accessories ,west,nevada,2,$73.72,0.12,$129.85,35.46, First Class ,consumer
ORD-010135,30-Apr-2024,CUST-7533, Wireless Keyboard ,Technology,accessories,West,oregon,3,74.04,0.1,200.65,58.5, Standard Class , Corporate 
ORD-010136,05/07/2024,CUST-4196,ergonomic office chair,furniture,chairs,WEST,washington,0,206.93,0.09,562.56,20.32,second class,consumer
ORD-010137,05/02/2024,CUST-2176,ink cartridge pack, Office Supplies , Supplies , East ,New York,4,61.74,0.05,235.3,53.38,STANDARD CLASS,corporate
ORD-010138,2024-05-11,CUST-3329,Premium Standing Desk, Furniture ,Tables, East ,Pennsylvania,6,466.32,0.12,"$2,451.14",39.83,same day,Consumer
ORD-010139,05/11/2024,CUST-9916,ergonomic office chair, Furniture ,Chairs,EAST, New Jersey ,3,202.08,0.14,518.79,-12.7,STANDARD CLASS,CORPORATE
ORD-010140,24-May-2024,CUST-9947,ink cartridge pack, Office Supplies ,Supplies,East,new jersey,1,$61.06,0.12,53.88,8.87,SAME DAY, Consumer 
ORD-010141,09-May-2024,CUST-4534, Premium Notebook Bundle ,office supplies,Paper, West ,Oregon,4,18.36,0.08,67.29,28.38,standard class,CONSUMER
ORD-010142,05/19/2024,CUST-9684,ergonomic office chair,FURNITURE, Chairs ,West, Oregon ,3,216.56,0.12,573.83,$8.48, Standard Class ,HOME OFFICE
ORD-010143,2024-05-09,CUST-1529,premium standing desk,FURNITURE,Tables, South ,Georgia,3,497.56,0.17,1241.36,-42.65,Second Class,corporate
ORD-010144,05/06/2024,CUST-2406,CORDLESS PHONE DOCK,Technology,ACCESSORIES, South , Florida ,2,63.86,0.16,107.08,14.38,second class, Consumer 
ORD-010145,05/22/2024,CUST-5958, Smart LED Monitor , Technology ,monitors,south,FLORIDA,6,$221.21,0.13,"$1,156.78",165.16,Standard Class,consumer
ORD-010146,2024-05-16,CUST-8823,COMPACT PRINTER,technology,printers, West ,Nevada,5,139.1,0.02,682.21,34.19,Standard Class,Consumer
ORD-010147,2024-05-11,CUST-9694,premium standing desk,FURNITURE,Tables, Central , Texas ,2,$445.82,0.08,819.32,50.57, Standard Class ,CORPORATE
ORD-010148,18-May-2024,CUST-8823,WIRELESS KEYBOARD,TECHNOLOGY, Accessories ,WEST,nevada,3,74.03,0.08,204.22,$62.09, Standard Class ,Corporate
ORD-010149,05/28/2024,CUST-7224,Premium Standing Desk,furniture, Tables ,SOUTH, North Carolina ,5,429.65,0.2,1725.08,-136.47,Second Class,CONSUMER
ORD-010150,2024-05-20,CUST-9892, Compact Printer ,technology, Printers ,East,massachusetts,2,130.2,0.08,240.02,-4.14, Standard Class ,CORPORATE
ORD-010151,2024-05-31,CUST-3586,ergonomic office chair,Furniture,Chairs, Central , Colorado ,6,200.1,0.07,"$1,113.52",$64.24,standard class,Consumer
ORD-010152,05/05/2024,CUST-2396,smart led monitor,technology, Monitors ,west,Washington,4,246.28,0.04,950.37,220.29, Standard Class ,corporate
ORD-010153,2024-05-30,CUST-9913, Wireless Keyboard ,TECHNOLOGY, Accessories ,West,Washington,1,$77.56,0.12,$68.26,18.8,SECOND CLASS,Consumer
ORD-010154,28-May-2024,CUST-9504,Wireless Keyboard,technology,accessories,East, Pennsylvania ,4,74.04,0.17,246.48,55.75, Standard Class ,home office
ORD-010155,11-May-2024,CUST-8848,Ergonomic Office Chair,FURNITURE,CHAIRS,East,pennsylvania,4,199.09,0.17,661.06,$-38.04,STANDARD CLASS,CONSUMER
ORD-010156,2024-05-04,CUST-8598,smart led monitor,TECHNOLOGY,Monitors,south,FLORIDA,3,238.61,0.18,587.56,54.15,SECOND CLASS,Corporate
ORD-010157,13-May-2024,CUST-7715,wireless keyboard, Technology ,accessories,CENTRAL, Illinois ,4,74.58,0.07,277.84,88.62,Standard Class,CORPORATE
ORD-010158,27-May-2024,CUST-7759, Wireless Keyboard , Technology ,Accessories,West, Washington ,2,71.39,0.07,$133.29,41.65, Standard Class ,CONSUMER
ORD-010159,29-May-2024,CUST-2714,DESK ORGANIZER SET,office supplies,storage,SOUTH, Tennessee ,4,33.3,0.09,$121.69,44.16,SAME DAY,CORPORATE
ORD-010160,05/24/2024,CUST-2702,WIRELESS KEYBOARD,technology, Accessories , Central ,ILLINOIS,1,72.09,0.06,67.51,$21.67,Second Class,corporate
ORD-010161,2024-05-06,CUST-4419,WIRELESS KEYBOARD, Technology ,ACCESSORIES,south,north carolina,4,78.66,0.12,277.38,73.73,second class,HOME OFFICE
ORD-010162,06-May-2024,CUST-1951,Ergonomic Office Chair,furniture,Chairs, West , Nevada ,2,194.41,0.18,317.38,$-24.08,standard class, Consumer 
ORD-010163,05/02/2024,CUST-2905,, Technology ,ACCESSORIES,east,Massachusetts,1,66.19,0.1,59.87,12.48,Second Class,CORPORATE
ORD-010164,05/28/2024,CUST-3286,Smart LED Monitor,TECHNOLOGY,Monitors,south, Georgia ,6,$229.82,0.14,1191.9,163.07, Standard Class ,Consumer
ORD-010165,20-May-2024,CUST-8460,premium standing desk,FURNITURE,TABLES,CENTRAL,MINNESOTA,4,441.22,0.08,"$1,616.87",94.47,FIRST CLASS, Home Office 
ORD-010166,01-May-2024,CUST-3248,Desk Organizer Set,OFFICE SUPPLIES, Storage ,east,Massachusetts,2,$34.15,0.09,62.42,23.84, Standard Class ,CONSUMER
