order_id,order_date,customer_id,product_name,category,sub_category,region,state,quantity,unit_price,discount,sales,profit,ship_mode,segment,gross_sales,discount_impact,revenue_per_unit,profit_margin,month_year,month_start,quarter,calendar_month,calendar_month_num
ORD-010010,2024-01-21,CUST-3071,Modular Bookshelf,Furniture,Storage,East,New York,2,169.88,0.19,274.57,-39.23,Standard Class,Home Office,339.76,65.19,137.285,-14.287795461995117,2024-01,2024-01-01,2024Q1,January,1
ORD-010011,2024-01-17,CUST-2363,Ergonomic Office Chair,Furniture,Chairs,East,New Jersey,5,202.55,0.11,904.31,16.6,Standard Class,Home Office,1012.75,108.44000000000005,180.862,1.8356537028231472,2024-01,2024-01-01,2024Q1,January,1
ORD-010012,2024-01-01,CUST-1608,Compact Printer,Technology,Printers,East,New Jersey,1,140.02,0.15,118.49,-12.23,Standard Class,Consumer,140.02,21.530000000000015,118.49,-10.321546122035615,2024-01,2024-01-01,2024Q1,January,1
ORD-010013,2024-01-06,CUST-9722,Desk Organizer Set,Office Supplies,Storage,South,Georgia,3,34.46,0.13,89.5,29.67,Standard Class,Corporate,103.38,13.879999999999995,29.833333333333332,33.15083798882682,2024-01,2024-01-01,2024Q1,January,1
ORD-010014,2024-01-31,CUST-3823,Modular Bookshelf,Furniture,Storage,West,Washington,1,165.73,0.13,144.66,-8.4,Standard Class,Corporate,165.73,21.069999999999993,144.66,-5.806719203649938,2024-01,2024-01-01,2024Q1,January,1
ORD-010015,2024-01-19,CUST-1160,Smart LED Monitor,Technology,Monitors,East,New York,5,226.37,0.07,1052.45,210.03,Standard Class,Corporate,1131.85,79.39999999999986,210.49,19.956292460449426,2024-01,2024-01-01,2024Q1,January,1
ORD-010016,2024-01-12,CUST-3230,Compact Printer,Technology,Printers,East,New Jersey,1,138.48,0.14,119.18,-10.18,First Class,Consumer,138.48,19.299999999999983,119.18,-8.541701627789896,2024-01,2024-01-01,2024Q1,January,1
ORD-010017,2024-01-05,CUST-2039,Premium Notebook Bundle,Office Supplies,Paper,East,New York,5,18.31,0.12,80.83,30.79,Standard Class,Consumer,91.55,10.719999999999999,16.166,38.092292465668685,2024-01,2024-01-01,2024Q1,January,1
ORD-010018,2024-01-16,CUST-6782,Ergonomic Office Chair,Furniture,Chairs,East,Pennsylvania,6,201.52,0.1,1082.47,22.17,Standard Class,Consumer,1209.1200000000001,126.65000000000009,180.41166666666666,2.0480937116040168,2024-01,2024-01-01,2024Q1,January,1
ORD-010019,2024-01-27,CUST-6781,Smart LED Monitor,Technology,Monitors,South,North Carolina,3,218.83,0.17,547.57,56.9,First Class,Corporate,656.49,108.91999999999996,182.52333333333334,10.391365487517575,2024-01,2024-01-01,2024Q1,January,1
ORD-010020,2024-01-05,CUST-4297,Compact Printer,Technology,Printers,West,Washington,1,140.82,0.02,138.22,7.09,Standard Class,Consumer,140.82,2.5999999999999943,138.22,5.1295036897699315,2024-01,2024-01-01,2024Q1,January,1
ORD-010021,2024-01-18,CUST-2590,Ergonomic Office Chair,Furniture,Chairs,Central,Texas,7,205.59,0.12,1273.11,18.2,Second Class,Consumer,1439.13,166.0200000000002,181.87285714285713,1.4295701078461407,2024-01,2024-01-01,2024Q1,January,1
ORD-010022,2024-01-06,CUST-9968,Modular Bookshelf,Furniture,Storage,West,Oregon,5,161.08,0.11,718.68,-26.9,Second Class,Corporate,805.4000000000001,86.72000000000014,143.736,-3.742973228697056,2024-01,2024-01-01,2024Q1,January,1
ORD-010023,2024-01-29,CUST-2252,Wireless Keyboard,Technology,Accessories,Central,Texas,3,74.21,0.08,204.68,63.43,Standard Class,Corporate,222.63,17.94999999999999,68.22666666666667,30.989837795583348,2024-01,2024-01-01,2024Q1,January,1
ORD-010024,2024-01-25,CUST-9650,Modular Bookshelf,Furniture,Storage,East,Massachusetts,5,170.83,0.14,736.09,-52.42,Standard Class,Consumer,854.1500000000001,118.06000000000006,147.21800000000002,-7.121411783885123,2024-01,2024-01-01,2024Q1,January,1
ORD-010025,2024-01-27,CUST-8900,Desk Organizer Set,Office Supplies,Storage,East,New York,2,35.17,0.14,60.73,21.17,Standard Class,Home Office,70.34,9.610000000000007,30.365,34.859212909599876,2024-01,2024-01-01,2024Q1,January,1
ORD-010026,2024-01-10,CUST-8911,Ergonomic Office Chair,Furniture,Chairs,East,Pennsylvania,3,201.2,0.15,514.06,-15.32,Standard Class,Home Office,603.5999999999999,89.53999999999996,171.35333333333332,-2.980196864179279,2024-01,2024-01-01,2024Q1,January,1
ORD-010027,2024-01-08,CUST-6905,Ink Cartridge Pack,Office Supplies,Supplies,West,California,2,59.46,0.06,111.35,24.08,Standard Class,Home Office,118.92,7.570000000000007,55.675,21.62550516389762,2024-01,2024-01-01,2024Q1,January,1
ORD-010028,2024-01-26,CUST-2023,Smart LED Monitor,Technology,Monitors,South,Tennessee,7,238.98,0.16,1410.33,163.89,Standard Class,Consumer,1672.86,262.53,201.47571428571428,11.620684520644105,2024-01,2024-01-01,2024Q1,January,1
ORD-010029,2024-01-31,CUST-8956,Premium Standing Desk,Furniture,Tables,West,California,5,456.06,0.06,2139.76,173.93,Second Class,Consumer,2280.3,140.53999999999996,427.95200000000006,8.128481698882117,2024-01,2024-01-01,2024Q1,January,1
ORD-010030,2024-01-05,CUST-6842,Compact Printer,Technology,Printers,Central,Minnesota,3,137.09,0.12,363.48,-18.85,Second Class,Corporate,411.27,47.789999999999964,121.16000000000001,-5.185979971387697,2024-01,2024-01-01,2024Q1,January,1
ORD-010031,2024-02-05,CUST-6413,Ergonomic Office Chair,Furniture,Chairs,East,New York,5,201.5,0.13,877.43,-6.06,Standard Class,Corporate,1007.5,130.07000000000005,175.486,-0.69065338545525,2024-02,2024-02-01,2024Q1,February,2
ORD-010032,2024-02-10,CUST-5736,Modular Bookshelf,Furniture,Storage,Central,Colorado,4,166.71,0.12,585.69,-28.31,Standard Class,Corporate,666.84,81.14999999999998,146.4225,-4.833615052331437,2024-02,2024-02-01,2024Q1,February,2
ORD-010033,2024-02-24,CUST-5387,Desk Organizer Set,Office Supplies,Storage,East,Massachusetts,5,35.48,0.11,157.28,57.64,Standard Class,Consumer,177.39999999999998,20.119999999999976,31.456,36.64801627670396,2024-02,2024-02-01,2024Q1,February,2
ORD-010034,2024-02-11,CUST-7188,Smart LED Monitor,Technology,Monitors,Central,Colorado,2,251.17,0.05,476.73,105.45,First Class,Consumer,502.34,25.609999999999957,238.365,22.119438675980113,2024-02,2024-02-01,2024Q1,February,2
ORD-010035,2024-02-24,CUST-8585,Premium Standing Desk,Furniture,Tables,South,Florida,7,433.06,0.15,2588.68,-37.07,Standard Class,Consumer,3031.42,442.74000000000024,369.81142857142856,-1.432003955683978,2024-02,2024-02-01,2024Q1,February,2
ORD-010036,2024-02-29,CUST-3419,Ink Cartridge Pack,Office Supplies,Supplies,West,Oregon,2,57.73,0.09,104.8,19.89,Standard Class,Consumer,115.46,10.659999999999997,52.4,18.979007633587788,2024-02,2024-02-01,2024Q1,February,2
ORD-010037,2024-02-25,CUST-9185,Ergonomic Office Chair,Furniture,Chairs,Central,Minnesota,4,201.36,0.12,709.21,5.65,First Class,Corporate,805.44,96.23000000000002,177.3025,0.7966610735889229,2024-02,2024-02-01,2024Q1,February,2
ORD-010038,2024-02-06,CUST-5033,Ink Cartridge Pack,Office Supplies,Supplies,Central,Texas,2,60.75,0.09,110.37,22.16,Standard Class,Home Office,121.5,11.129999999999995,55.185,20.077919724562836,2024-02,2024-02-01,2024Q1,February,2
ORD-010039,2024-02-23,CUST-8800,Compact Printer,Technology,Printers,East,New Jersey,5,125.6,0.11,557.21,-32.93,Same Day,Corporate,628.0,70.78999999999996,111.44200000000001,-5.909800613772187,2024-02,2024-02-01,2024Q1,February,2
ORD-010040,2024-02-09,CUST-8874,Ergonomic Office Chair,Furniture,Chairs,Central,Minnesota,7,185.85,0.09,1190.17,45.8,First Class,Corporate,1300.95,110.77999999999997,170.02428571428572,3.848189754404832,2024-02,2024-02-01,2024Q1,February,2
ORD-010042,2024-02-16,CUST-6494,Compact Printer,Technology,Printers,South,Georgia,1,135.55,0.16,113.95,-13.34,Standard Class,Home Office,135.55,21.60000000000001,113.95,-11.706888986397542,2024-02,2024-02-01,2024Q1,February,2
ORD-010043,2024-02-06,CUST-9987,Ergonomic Office Chair,Furniture,Chairs,West,Oregon,7,203.18,0.13,1236.93,-7.25,Second Class,Corporate,1422.26,185.32999999999993,176.70428571428573,-0.58612856022572,2024-02,2024-02-01,2024Q1,February,2
ORD-010044,2024-02-03,CUST-3716,Ergonomic Office Chair,Furniture,Chairs,South,North Carolina,3,212.28,0.17,526.08,-31.38,Standard Class,Consumer,636.84,110.75999999999999,175.36,-5.964872262773722,2024-02,2024-02-01,2024Q1,February,2
ORD-010045,2024-02-10,CUST-6880,Ergonomic Office Chair,Furniture,Chairs,South,Georgia,3,194.84,0.2,469.44,-46.17,First Class,Corporate,584.52,115.07999999999998,156.48,-9.835122699386503,2024-02,2024-02-01,2024Q1,February,2
ORD-010046,2024-02-13,CUST-9122,Desk Organizer Set,Office Supplies,Storage,South,North Carolina,4,35.7,0.16,119.69,37.54,Second Class,Corporate,142.8,23.110000000000014,29.9225,31.364357924638647,2024-02,2024-02-01,2024Q1,February,2
ORD-010047,2024-02-02,CUST-3374,Ergonomic Office Chair,Furniture,Chairs,West,Oregon,7,192.77,0.08,1240.01,54.09,Standard Class,Consumer,1349.39,109.38000000000011,177.1442857142857,4.362061596277449,2024-02,2024-02-01,2024Q1,February,2
ORD-010048,2024-02-13,CUST-5572,Premium Standing Desk,Furniture,Tables,East,Pennsylvania,2,461.6,0.13,803.63,7.6,First Class,Consumer,923.2,119.57000000000005,401.815,0.9457088461107723,2024-02,2024-02-01,2024Q1,February,2
ORD-010049,2024-02-08,CUST-8774,Premium Standing Desk,Furniture,Tables,East,Pennsylvania,7,454.08,0.18,2602.76,-140.13,Standard Class,Consumer,3178.56,575.7999999999997,371.8228571428572,-5.383900167514484,2024-02,2024-02-01,2024Q1,February,2
ORD-010050,2024-02-08,CUST-8679,Smart LED Monitor,Technology,Monitors,West,Oregon,5,219.65,0.12,964.74,148.0,First Class,Consumer,1098.25,133.51,192.948,15.340920869871674,2024-02,2024-02-01,2024Q1,February,2
ORD-010051,2024-02-11,CUST-2946,Compact Printer,Technology,Printers,South,Georgia,1,143.75,0.12,126.82,-7.68,First Class,Corporate,143.75,16.930000000000007,126.82,-6.055827156599905,2024-02,2024-02-01,2024Q1,February,2
ORD-010052,2024-02-22,CUST-2293,Modular Bookshelf,Furniture,Storage,Central,Illinois,2,170.73,0.15,291.06,-22.77,Second Class,Consumer,341.46,50.39999999999998,145.53,-7.8231292517006805,2024-02,2024-02-01,2024Q1,February,2
ORD-010053,2024-02-27,CUST-1454,Compact Printer,Technology,Printers,West,Nevada,3,137.87,0.08,379.89,-5.7,Second Class,Consumer,413.61,33.72000000000003,126.63,-1.500434336255232,2024-02,2024-02-01,2024Q1,February,2
ORD-010054,2024-02-18,CUST-6101,Premium Notebook Bundle,Office Supplies,Paper,West,California,4,18.25,0.03,70.65,31.92,Second Class,Corporate,73.0,2.3499999999999943,17.6625,45.18046709129512,2024-02,2024-02-01,2024Q1,February,2
ORD-010055,2024-02-14,CUST-7137,Ergonomic Office Chair,Furniture,Chairs,West,Oregon,6,200.94,0.1,1090.0,34.27,Same Day,Consumer,1205.6399999999999,115.63999999999987,181.66666666666666,3.144036697247707,2024-02,2024-02-01,2024Q1,February,2
ORD-010056,2024-02-22,CUST-8789,Ergonomic Office Chair,Furniture,Chairs,East,New York,5,211.43,0.14,905.07,-18.15,Standard Class,Home Office,1057.15,152.08000000000004,181.014,-2.0053697504060457,2024-02,2024-02-01,2024Q1,February,2
ORD-010057,2024-03-10,CUST-9417,Ink Cartridge Pack,Office Supplies,Supplies,East,Pennsylvania,4,61.01,0.2,194.92,14.98,Standard Class,Corporate,244.04,49.120000000000005,48.73,7.6852041863328555,2024-03,2024-03-01,2024Q1,March,3
ORD-010058,2024-03-19,CUST-9779,Ergonomic Office Chair,Furniture,Chairs,South,North Carolina,4,198.54,0.13,691.28,-8.03,Standard Class,Consumer,794.16,102.88,172.82,-1.1616132392084249,2024-03,2024-03-01,2024Q1,March,3
ORD-010059,2024-03-10,CUST-1946,Compact Printer,Technology,Printers,East,New Jersey,1,137.77,0.1,124.05,-4.69,First Class,Home Office,137.77,13.720000000000013,124.05,-3.7807335751713023,2024-03,2024-03-01,2024Q1,March,3
ORD-010060,2024-03-17,CUST-6257,Smart LED Monitor,Technology,Monitors,South,North Carolina,5,229.35,0.14,991.14,135.47,Standard Class,Home Office,1146.75,155.61,198.228,13.668099360332548,2024-03,2024-03-01,2024Q1,March,3
ORD-010061,2024-03-28,CUST-4721,Cordless Phone Dock,Technology,Accessories,West,California,2,66.18,0.04,127.7,33.53,First Class,Consumer,132.36,4.660000000000011,63.85,26.25685199686766,2024-03,2024-03-01,2024Q1,March,3
ORD-010062,2024-03-01,CUST-5063,Premium Standing Desk,Furniture,Tables,West,Oregon,2,451.14,0.08,830.41,52.14,Standard Class,Corporate,902.28,71.87,415.205,6.2788261220361035,2024-03,2024-03-01,2024Q1,March,3
ORD-010063,2024-03-28,CUST-1014,Cordless Phone Dock,Technology,Accessories,West,Washington,3,65.77,0.04,189.47,49.05,Standard Class,Home Office,197.31,7.840000000000003,63.156666666666666,25.888003377843454,2024-03,2024-03-01,2024Q1,March,3
ORD-010064,2024-03-22,CUST-1513,Desk Organizer Set,Office Supplies,Storage,South,Georgia,3,34.65,0.16,87.75,27.66,Standard Class,Consumer,103.94999999999999,16.19999999999999,29.25,31.521367521367523,2024-03,2024-03-01,2024Q1,March,3
ORD-010065,2024-03-13,CUST-8087,Compact Printer,Technology,Printers,West,Oregon,5,134.87,0.07,626.46,-2.99,Standard Class,Consumer,674.35,47.889999999999986,125.292,-0.47728506209494626,2024-03,2024-03-01,2024Q1,March,3
ORD-010066,2024-03-03,CUST-9890,Compact Printer,Technology,Printers,East,Massachusetts,5,140.28,0.05,668.82,14.1,First Class,Consumer,701.4,32.57999999999993,133.764,2.108190544541132,2024-03,2024-03-01,2024Q1,March,3
ORD-010067,2024-03-05,CUST-3973,Cordless Phone Dock,Technology,Accessories,East,Massachusetts,4,66.93,0.1,241.98,50.48,Standard Class,Home Office,267.72,25.740000000000038,60.495,20.861228200677743,2024-03,2024-03-01,2024Q1,March,3
ORD-010068,2024-03-25,CUST-7760,Compact Printer,Technology,Printers,Central,Colorado,4,132.13,0.08,484.53,-7.78,First Class,Home Office,528.52,43.99000000000001,121.1325,-1.6056797308732176,2024-03,2024-03-01,2024Q1,March,3
ORD-010069,2024-03-19,CUST-1577,Ink Cartridge Pack,Office Supplies,Supplies,West,Oregon,3,58.14,0.0,174.42,46.21,Standard Class,Corporate,174.42000000000002,2.842170943040401e-14,58.13999999999999,26.493521385162254,2024-03,2024-03-01,2024Q1,March,3
ORD-010070,2024-03-27,CUST-8316,Compact Printer,Technology,Printers,East,New York,5,133.69,0.12,585.76,-39.98,Standard Class,Corporate,668.45,82.69000000000005,117.152,-6.825320950559956,2024-03,2024-03-01,2024Q1,March,3
ORD-010071,2024-03-19,CUST-5155,Desk Organizer Set,Office Supplies,Storage,South,Florida,3,36.0,0.09,98.09,36.05,Standard Class,Consumer,108.0,9.909999999999997,32.696666666666665,36.75196248343357,2024-03,2024-03-01,2024Q1,March,3
ORD-010072,2024-03-05,CUST-2733,Ergonomic Office Chair,Furniture,Chairs,South,Florida,5,190.13,0.17,786.07,-54.44,Standard Class,Home Office,950.65,164.57999999999993,157.214,-6.925591868408665,2024-03,2024-03-01,2024Q1,March,3
ORD-010073,2024-03-28,CUST-4811,Desk Organizer Set,Office Supplies,Storage,West,California,3,32.1,0.06,90.93,36.91,First Class,Consumer,96.30000000000001,5.3700000000000045,30.310000000000002,40.591663917299016,2024-03,2024-03-01,2024Q1,March,3
ORD-010074,2024-03-06,CUST-7867,Smart LED Monitor,Technology,Monitors,Central,Colorado,3,239.35,0.11,636.58,105.18,Standard Class,Corporate,718.05,81.46999999999991,212.19333333333336,16.52266800716328,2024-03,2024-03-01,2024Q1,March,3
ORD-010075,2024-03-29,CUST-3524,Desk Organizer Set,Office Supplies,Storage,East,New York,5,34.11,0.09,154.58,58.22,Standard Class,Corporate,170.55,15.969999999999999,30.916000000000004,37.66334584034156,2024-03,2024-03-01,2024Q1,March,3
ORD-010076,2024-03-18,CUST-4810,Premium Notebook Bundle,Office Supplies,Paper,West,California,1,17.36,0.0,17.36,8.04,First Class,Consumer,17.36,0.0,17.36,46.31336405529954,2024-03,2024-03-01,2024Q1,March,3
ORD-010077,2024-03-24,CUST-8407,Ergonomic Office Chair,Furniture,Chairs,West,Oregon,3,202.77,0.13,526.69,-5.55,Standard Class,Consumer,608.3100000000001,81.62,175.56333333333336,-1.0537507831931496,2024-03,2024-03-01,2024Q1,March,3
ORD-010078,2024-03-06,CUST-6097,LED Desk Lamp,Furniture,Lighting,South,Tennessee,3,47.3,0.14,122.26,16.44,Standard Class,Corporate,141.89999999999998,19.639999999999972,40.75333333333334,13.446752821855062,2024-03,2024-03-01,2024Q1,March,3
ORD-010079,2024-03-05,CUST-2462,Premium Standing Desk,Furniture,Tables,East,Pennsylvania,4,435.31,0.07,1612.42,106.59,Standard Class,Corporate,1741.24,128.81999999999994,403.105,6.61056052393297,2024-03,2024-03-01,2024Q1,March,3
ORD-010080,2024-03-27,CUST-5266,Compact Printer,Technology,Printers,West,Nevada,5,144.6,0.13,626.41,-45.84,Standard Class,Consumer,723.0,96.59000000000003,125.282,-7.317890838268866,2024-03,2024-03-01,2024Q1,March,3
ORD-010081,2024-03-10,CUST-6493,Premium Standing Desk,Furniture,Tables,West,Oregon,5,433.2,0.09,1981.76,109.62,Standard Class,Consumer,2166.0,184.24,396.352,5.531446794768287,2024-03,2024-03-01,2024Q1,March,3
ORD-010082,2024-03-05,CUST-1560,Smart LED Monitor,Technology,Monitors,South,North Carolina,7,232.76,0.2,1311.35,96.22,Standard Class,Consumer,1629.32,317.97,187.33571428571426,7.337476646204294,2024-03,2024-03-01,2024Q1,March,3
ORD-010083,2024-03-15,CUST-9835,Wireless Keyboard,Technology,Accessories,South,Tennessee,2,71.65,0.16,120.17,26.62,Standard Class,Consumer,143.3,23.13000000000001,60.085,22.151951402180245,2024-03,2024-03-01,2024Q1,March,3
ORD-010084,2024-03-31,CUST-4153,Ink Cartridge Pack,Office Supplies,Supplies,South,North Carolina,2,61.28,0.09,112.1,20.75,Standard Class,Corporate,122.56,10.460000000000008,56.05,18.510258697591436,2024-03,2024-03-01,2024Q1,March,3
ORD-010085,2024-03-24,CUST-7019,Ergonomic Office Chair,Furniture,Chairs,West,Nevada,5,192.34,0.11,859.82,14.44,Same Day,Corporate,961.7,101.88,171.964,1.6794212742201855,2024-03,2024-03-01,2024Q1,March,3
ORD-010086,2024-03-01,CUST-1049,Modular Bookshelf,Furniture,Storage,Central,Illinois,1,154.33,0.14,132.45,-10.53,Standard Class,Consumer,154.33,21.880000000000024,132.45,-7.950169875424688,2024-03,2024-03-01,2024Q1,March,3
ORD-010087,2024-03-17,CUST-6347,Desk Organizer Set,Office Supplies,Storage,East,New York,2,31.86,0.12,56.09,19.71,First Class,Consumer,63.72,7.6299999999999955,28.045,35.13995364592619,2024-03,2024-03-01,2024Q1,March,3
ORD-010088,2024-03-12,CUST-3559,Compact Printer,Technology,Printers,East,New Jersey,5,132.44,0.09,604.03,-16.2,First Class,Home Office,662.2,58.17000000000007,120.806,-2.681985994073142,2024-03,2024-03-01,2024Q1,March,3
ORD-010089,2024-03-20,CUST-2256,Compact Printer,Technology,Printers,East,New York,4,144.38,0.11,515.14,-23.07,Second Class,Consumer,577.52,62.379999999999995,128.785,-4.47839422292969,2024-03,2024-03-01,2024Q1,March,3
ORD-010090,2024-03-05,CUST-4323,Smart LED Monitor,Technology,Monitors,Central,Minnesota,7,221.69,0.06,1454.82,303.9,Standard Class,Corporate,1551.83,97.00999999999999,207.83142857142857,20.889182166866004,2024-03,2024-03-01,2024Q1,March,3
ORD-010091,2024-03-30,CUST-8840,Cordless Phone Dock,Technology,Accessories,South,Tennessee,1,71.05,0.18,58.6,7.5,Second Class,Home Office,71.05,12.449999999999996,58.6,12.798634812286688,2024-03,2024-03-01,2024Q1,March,3
ORD-010092,2024-03-27,CUST-9489,Ergonomic Office Chair,Furniture,Chairs,South,Florida,3,186.94,0.21,441.04,-55.62,Same Day,Home Office,560.8199999999999,119.77999999999992,147.01333333333335,-12.611101033919825,2024-03,2024-03-01,2024Q1,March,3
ORD-010093,2024-03-12,CUST-8018,Wireless Keyboard,Technology,Accessories,East,Massachusetts,5,74.28,0.04,357.03,117.91,Standard Class,Consumer,371.4,14.370000000000005,71.40599999999999,33.02523597456796,2024-03,2024-03-01,2024Q1,March,3
ORD-010094,2024-03-18,CUST-2335,Premium Standing Desk,Furniture,Tables,East,New Jersey,6,470.24,0.08,2593.86,163.29,Standard Class,Consumer,2821.44,227.57999999999993,432.31,6.295251092965695,2024-03,2024-03-01,2024Q1,March,3
ORD-010095,2024-03-15,CUST-8643,Compact Printer,Technology,Printers,South,North Carolina,5,134.26,0.2,538.47,-92.28,Standard Class,Home Office,671.3,132.82999999999993,107.694,-17.13744498300741,2024-03,2024-03-01,2024Q1,March,3
ORD-010096,2024-03-06,CUST-5675,Ergonomic Office Chair,Furniture,Chairs,West,Nevada,6,191.61,0.1,1034.07,23.17,Standard Class,Corporate,1149.66,115.59000000000015,172.345,2.24066069028209,2024-03,2024-03-01,2024Q1,March,3
ORD-010097,2024-03-20,CUST-5279,Compact Printer,Technology,Printers,West,California,4,151.93,0.09,552.94,-10.66,Standard Class,Home Office,607.72,54.77999999999997,138.235,-1.9278764422903025,2024-03,2024-03-01,2024Q1,March,3
ORD-010098,2024-03-21,CUST-8308,Compact Printer,Technology,Printers,East,New Jersey,3,134.97,0.13,350.78,-28.05,Standard Class,Consumer,404.90999999999997,54.129999999999995,116.92666666666666,-7.996465020810765,2024-03,2024-03-01,2024Q1,March,3
ORD-010099,2024-04-09,CUST-3621,Desk Organizer Set,Office Supplies,Storage,South,Florida,4,32.02,0.21,100.75,25.67,Standard Class,Consumer,128.08,27.330000000000013,25.1875,25.47890818858561,2024-04,2024-04-01,2024Q2,April,4
ORD-010100,2024-04-25,CUST-3162,Smart LED Monitor,Technology,Monitors,West,Washington,2,223.3,0.08,411.22,79.27,Standard Class,Corporate,446.6,35.379999999999995,205.61,19.276786148533628,2024-04,2024-04-01,2024Q2,April,4
ORD-010101,2024-04-08,CUST-4948,Premium Standing Desk,Furniture,Tables,East,Pennsylvania,4,484.88,0.13,1690.29,21.9,Standard Class,Consumer,1939.52,249.23000000000002,422.5725,1.2956356601529915,2024-04,2024-04-01,2024Q2,April,4
ORD-010102,2024-04-19,CUST-1730,Premium Notebook Bundle,Office Supplies,Paper,South,North Carolina,3,17.86,0.13,46.53,15.56,First Class,Consumer,53.58,7.049999999999997,15.51,33.4407908875994,2024-04,2024-04-01,2024Q2,April,4
ORD-010103,2024-04-21,CUST-2153,Smart LED Monitor,Technology,Monitors,West,Nevada,3,220.48,0.02,647.58,155.75,First Class,Consumer,661.4399999999999,13.8599999999999,215.86,24.05108249173847,2024-04,2024-04-01,2024Q2,April,4
ORD-010104,2024-04-29,CUST-2578,Premium Standing Desk,Furniture,Tables,West,Oregon,2,424.29,0.1,766.09,31.85,Second Class,Consumer,848.58,82.49000000000001,383.045,4.157474970303751,2024-04,2024-04-01,2024Q2,April,4
ORD-010105,2024-04-21,CUST-6208,Ergonomic Office Chair,Furniture,Chairs,South,Florida,3,186.37,0.21,444.18,-51.1,First Class,Corporate,559.11,114.93,148.06,-11.504345085325768,2024-04,2024-04-01,2024Q2,April,4
ORD-010106,2024-04-03,CUST-2759,Premium Standing Desk,Furniture,Tables,East,Massachusetts,7,419.89,0.13,2569.4,22.74,Standard Class,Consumer,2939.23,369.8299999999999,367.0571428571429,0.8850315248696193,2024-04,2024-04-01,2024Q2,April,4
ORD-010107,2024-04-30,CUST-2563,Ergonomic Office Chair,Furniture,Chairs,South,Georgia,1,198.56,0.14,170.24,-4.61,Standard Class,Consumer,198.56,28.319999999999993,170.24,-2.7079417293233083,2024-04,2024-04-01,2024Q2,April,4
ORD-010108,2024-04-29,CUST-1316,Ergonomic Office Chair,Furniture,Chairs,West,Washington,1,222.2,0.13,193.62,0.66,First Class,Consumer,222.2,28.579999999999984,193.62,0.34087387666563373,2024-04,2024-04-01,2024Q2,April,4
ORD-010109,2024-04-17,CUST-2431,Premium Standing Desk,Furniture,Tables,West,Nevada,7,434.08,0.07,2834.05,208.03,Standard Class,Corporate,3038.56,204.50999999999976,404.86428571428576,7.3403786101162645,2024-04,2024-04-01,2024Q2,April,4
ORD-010110,2024-04-21,CUST-8488,Desk Organizer Set,Office Supplies,Storage,East,Pennsylvania,1,34.07,0.04,32.79,13.53,Second Class,Consumer,34.07,1.2800000000000011,32.79,41.262580054894784,2024-04,2024-04-01,2024Q2,April,4
